Timestamp,URL,Title,Browser,Visit_Count,Incognito
2025-09-15 09:30:00,https://protonmail.com,ProtonMail - Secure Email,Brave,5,No
2025-09-15 10:15:00,https://github.com/phishing-templates,Phishing Templates Repository,Brave,12,Yes
2025-09-15 11:45:00,https://tutorials.darkweb.onion,Dark Web Tutorials,Tor,3,Yes
2025-09-15 13:20:00,https://cryptomixer.io,Crypto Mixer - Anonymous Transactions,Brave,8,Yes
2025-09-15 14:00:00,https://burnerphone.net,Burner Phone Numbers,Brave,4,Yes
2025-09-15 16:30:00,https://telegram.org/dl,Download Telegram,Brave,2,No
2025-09-15 18:00:00,https://nordvpn.com/servers,NordVPN Server List,Brave,6,No
2025-09-16 08:00:00,https://news.google.com/search?q=police+raid+delhi,Police Raid Delhi - Google News,Brave,3,Yes
2025-09-16 09:30:00,https://antiforensics.net,Anti-Forensics Tools,Tor,7,Yes
2025-09-16 11:00:00,https://fake-identity-generator.com,Fake Identity Generator,Brave,5,Yes
2025-09-16 13:45:00,https://bitcoin.org/wallet,Bitcoin Wallet,Brave,4,No
2025-09-16 15:20:00,https://phishingkit-amazon.zip,Phishing Kit Download,Brave,1,Yes
2025-09-16 17:00:00,https://voip-services.net,Anonymous VOIP Services,Brave,3,Yes
2025-09-17 07:30:00,https://encryption-tools.org,Encryption Tools,Brave,6,No
2025-09-17 10:00:00,https://virtualcreditcard.com,Virtual Credit Cards,Brave,8,Yes
2025-09-17 12:30:00,https://maps.google.com/banjara-hills-hyderabad,Banjara Hills Hyderabad - Google Maps,Brave,2,No
2025-09-17 16:45:00,https://background-check-bypass.com,Background Check Bypass,Tor,4,Yes
2025-09-17 19:00:00,https://securecloud-storage.net,Secure Cloud Storage,Brave,5,Yes
2025-09-18 08:15:00,https://callcenter-scripts.com,Call Center Scripts,Brave,9,Yes
2025-09-18 11:30:00,https://moneymule-recruitment.onion,Money Mule Network,Tor,6,Yes
