Timestamp,URL,Title,Browser,Visit_Count,Incognito
2025-09-20 10:00:00,https://encrypted-messaging.onion,Encrypted Messaging Service,Tor,15,Yes
2025-09-20 12:30:00,https://crypto-exchange.io,Cryptocurrency Exchange,Brave,8,Yes
2025-09-20 15:00:00,https://chemical-suppliers-darkweb.onion,Chemical Suppliers,Tor,12,Yes
2025-09-21 09:00:00,https://bitcoin-mixer.onion,Bitcoin Mixer - Anonymous Transactions,Tor,6,Yes
2025-09-21 11:30:00,https://fake-id-generator.com,Fake ID Generator,Brave,4,Yes
2025-09-21 14:00:00,https://shipping-tracking.com,Shipping Tracking,Brave,3,No
2025-09-21 16:30:00,https://encrypted-phone-numbers.onion,Burner Phone Service,Tor,5,Yes
2025-09-22 08:00:00,https://news.google.com/search?q=mumbai+police+raid,Mumbai Police Raid - Google News,Brave,7,Yes
2025-09-22 10:30:00,https://vpn-services.net,VPN Service Comparison,Brave,4,No
2025-09-22 13:00:00,https://customs-bribery-contacts.onion,Port Customs Contacts,Tor,9,Yes
2025-09-22 15:30:00,https://safe-houses-rental.onion,Safe House Rentals,Tor,6,Yes
2025-09-23 07:00:00,https://anti-surveillance-tools.onion,Anti-Surveillance Tools,Tor,11,Yes
2025-09-23 09:30:00,https://international-shipping.com,International Shipping Services,Brave,5,Yes
2025-09-23 12:00:00,https://money-laundering-guide.onion,Money Laundering Guide,Tor,8,Yes
2025-09-23 14:30:00,https://maps.google.com/vasant-kunj-delhi,Vasant Kunj Delhi - Google Maps,Brave,2,No
2025-09-23 17:00:00,https://encrypted-cloud-storage.onion,Encrypted Cloud Storage,Tor,4,Yes
2025-09-23 19:30:00,https://darkweb-marketplace.onion,Dark Web Marketplace,Tor,13,Yes
2025-09-24 06:00:00,https://flight-booking.com/goa-to-kolkata,Flight Booking Goa to Kolkata,Brave,2,No
